M000485	N00002356	house	North Carolina	Mike	McIntyre	D	True	repmikemcintyre	http://www.house.gov/mcintyre
B000287	N00009774	house	California	Xavier	Becerra	D	True	repbecerra	http://becerra.house.gov
S000583	N00001811	house	Texas	Lamar	Smith	R	True	LamarSmithTX21	http://lamarsmith.house.gov
S001168	N00027751	house	Maryland	John	Sarbanes	D	True	RepJohnSarbanes	http://sarbanes.house.gov
B001248	N00025219	house	Texas	Michael	Burgess	R	True	michaelcburgess	http://burgess.house.gov
K000378	N00030667	house	Illinois	Adam	Kinzinger	R	True	RepKinzinger	http://kinzinger.house.gov
C001056	N00024852	senate	Texas	John	Cornyn	R	True	JohnCornyn	http://www.cornyn.senate.gov
H001047	N00029070	house	Connecticut	James	Himes	D	True	jahimes	http://himes.house.gov
W000809	N00031857	house	Arkansas	Steve	Womack	R	True	Rep_SteveWomack	http://womack.house.gov
C001084	N00032019	house	Rhode Island	David	Cicilline	D	True	repcicilline	http://cicilline.house.gov
K000380	N00033395	house	Michigan	Daniel	Kildee	D	True	RepDanKildee	http://danielkildee.house.gov
F000457	N00029016	senate	Minnesota	Alan	Franken	D	True	None	http://www.franken.senate.gov
R000586	N00031127	house	Ohio	James	Renacci	R	True	repjimrenacci	http://renacci.house.gov
L000569	N00030026	house	Missouri	Blaine	Luetkemeyer	R	True	None	http://luetkemeyer.house.gov
D000355	N00001783	house	Michigan	John	Dingell	D	True	john_dingell	http://www.house.gov/dingell
P000599	N00029662	house	Florida	Bill	Posey	R	True	congbillposey	http://posey.house.gov
C000071	N00008086	house	Michigan	Dave	Camp	R	True	RepDaveCamp	http://camp.house.gov
D000615	N00030752	house	South Carolina	Jeff	Duncan	R	True	RepJeffDuncan	http://jeffduncan.house.gov
H001060	N00031265	house	Virginia	Robert	Hurt	R	True	RepRobertHurt	http://hurt.house.gov
W000795	N00024809	house	South Carolina	Joe	Wilson	R	True	USRepJoeWilson	http://joewilson.house.gov
H001041	N00027522	senate	Nevada	Dean	Heller	R	True	SenDeanHeller	http://www.heller.senate.gov
C000714	N00004029	house	Michigan	John	Conyers	D	True	repjohnconyers	http://www.house.gov/conyers
L000566	N00012233	house	Ohio	Robert	Latta	R	True	boblatta	http://latta.house.gov
B001256	N00027493	house	Minnesota	Michele	Bachmann	R	True	MicheleBachmann	http://bachmann.house.gov
W000187	N00006690	house	California	Maxine	Waters	D	True	MaxineWaters	http://www.house.gov/waters
B000944	N00003535	senate	Ohio	Sherrod	Brown	D	True	SenSherrodBrown	http://www.brown.senate.gov
C001049	N00012460	house	Missouri	Wm.	Clay	D	True	None	http://www.house.gov/clay
M000309	N00001148	house	New York	Carolyn	McCarthy	D	True	RepMcCarthyNY	http://www.house.gov/carolynmccarthy
H001052	N00029147	house	Maryland	Andy	Harris	R	True	repandyharrismd	http://harris.house.gov
F000444	N00009573	senate	Arizona	Jeff	Flake	R	True	jeffflake	http://www.flake.senate.gov
M001184	N00034041	house	Kentucky	Thomas	Massie	R	True	RepThomasMassie	http://massie.house.gov
R000594	N00031988	house	New Jersey	Jon	Runyan	R	True	RepJonRunyan	http://runyan.house.gov
G000569	N00031401	house	New York	Michael	Grimm	R	True	repmichaelgrimm	http://grimm.house.gov
P000197	N00007360	house	California	Nancy	Pelosi	D	True	NancyPelosi	http://pelosi.house.gov
M000508	N00006882	house	California	Howard	McKeon	R	True	BuckMcKeon	http://mckeon.house.gov
R000576	N00025482	house	Maryland	C.	Ruppersberger	D	True	Call_Me_Dutch	http://www.house.gov/ruppersberger
R000588	N00030184	house	Louisiana	Cedric	Richmond	D	True	reprichmond	http://richmond.house.gov
S000018	N00006446	house	Arizona	Matt	Salmon	R	True	RepMattSalmon	http://salmon.house.gov
R000580	N00004719	house	Illinois	Peter	Roskam	R	True	PeterRoskam	http://roskam.house.gov
R000572	N00009668	house	Michigan	Mike	Rogers	R	True	RepMikeRogers	http://mikerogers.house.gov
T000468	N00030191	house	Nevada	Dina	Titus	D	True	repdinatitus	http://titus.house.gov
P000590	N00013823	senate	Arkansas	Mark	Pryor	D	True	senmarkpryor	http://www.pryor.senate.gov
W000437	N00003280	senate	Mississippi	Roger	Wicker	R	True	senatorwicker	http://www.wicker.senate.gov
E000290	N00028249	house	Maryland	Donna	Edwards	D	True	repdonnaedwards	http://www.house.gov/donnaedwards
R000595	N00030612	senate	Florida	Marco	Rubio	R	True	SenRubioPress	http://www.rubio.senate.gov
S000244	N00004291	house	Wisconsin	F.	Sensenbrenner	R	True	JimPressOffice	http://www.house.gov/sensenbrenner
F000462	N00002893	house	Florida	Lois	Frankel	D	True	RepLoisFrankel	http://frankel.house.gov
